name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected,package.json,package-lock.json,composer.json,composer.lock,vite.config.js,angular.json,tsconfig.json,babel.config.js,postcss.config.js,vue.config.js,category
Trendyol/baklava,Baklava is a design system provided by Trendyol to create a consistent UI/UX for app users.,1262,TypeScript,111,https://github.com/Trendyol/baklava,2021-06-21,2024-10-11,123,next,61,686,"['javascript', 'typescript', 'frontend', 'design-system', 'web-components', 'lit', 'components']",1262,20972,False,True,True,True,193,en,True,True,False,False,False,False,True,False,False,False,Ferramenta UX
kobaltedev/kobalte,A UI toolkit for building accessible web apps and design systems with SolidJS.,1259,TypeScript,66,https://github.com/kobaltedev/kobalte,2022-10-28,2024-10-11,54,main,23,975,"['component-library', 'design-system', 'solidjs', 'ui']",1259,6606,False,True,True,False,81,en,True,False,False,False,False,False,True,False,False,False,Componente UX
vechai/vechaiui,A set of high-quality accessible React UI components with the built-in dark mode using Tailwind CSS. Pre-designed headless ui and radix-ui.,1229,TypeScript,67,https://github.com/vechai/vechaiui,2021-06-13,2024-08-14,14,main,9,184,"['react', 'tailwindcss', 'ui', 'headlessui', 'radix-ui', 'css', 'typescript', 'dark-theme', 'react-ui']",1229,3691,True,True,True,False,0,en,True,False,False,False,False,False,True,True,True,False,Componente UX
mdbootstrap/mdb-angular-ui-kit,Angular 18 & Bootstrap 5 & Material Design UI KIT,1121,SCSS,282,https://github.com/mdbootstrap/mdb-angular-ui-kit,2017-06-23,2024-10-03,4,master,19,385,"['bootstrap', 'angular', 'bootstrap5', 'material-design-bootstrap', 'ui-kit']",1121,141931,True,True,True,False,35,en,True,True,False,False,False,True,True,False,False,False,Componente UX
DevCloudFE/vue-devui,UI components based on Vue3 and DevUI Design,1027,TypeScript,291,https://github.com/DevCloudFE/vue-devui,2021-09-16,2024-10-12,134,dev,108,3356,"['devui', 'vue3', 'vitejs', 'vue-devui', 'typescript', 'vue-components', 'components-library', 'jsx', 'devui-design', 'ui-components', 'vue', 'tsx']",1027,10875,True,True,True,False,96,en,True,False,False,False,False,False,False,False,False,False,Componente UX
mdbootstrap/mdb-vue-ui-kit,Vue 3 & Bootstrap 5 & Material Design 2.0 UI KIT,956,SCSS,191,https://github.com/mdbootstrap/mdb-vue-ui-kit,2017-11-23,2024-09-30,0,master,11,158,"['vue', 'bootstrap', 'material-design', 'uikit', 'bootstrap5']",956,20234,True,True,True,False,36,en,True,False,False,False,False,False,False,False,False,False,Componente UX
gorhom/react-native-paper-onboarding,Paper Onboarding is a material design UI slider for `React Native`.,849,TypeScript,47,https://github.com/gorhom/react-native-paper-onboarding,2020-02-29,2024-10-12,8,master,4,61,"['paper', 'onboarding', 'slider', 'material', 'ui', 'reanimated', 'redash', 'react-native']",849,2870,False,False,True,False,7,en,True,False,False,False,False,False,True,True,False,False,Componente UX
atom-material/atom-material-ui,A dynamic UI theme for Atom that follows Google's Material Design Guidelines,817,CSS,204,https://github.com/atom-material/atom-material-ui,2015-06-19,2024-09-10,30,master,6,90,[],817,2437,False,True,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Ferramenta UX
NG-ZORRO/ng-zorro-antd-mobile,A configurable Mobile UI components based on Ant Design Mobile and Angular. 🐜,798,TypeScript,239,https://github.com/NG-ZORRO/ng-zorro-antd-mobile,2018-08-22,2024-09-03,56,master,28,489,"['angular', 'ant-design', 'antd', 'ant', 'ng-zorro-mobile', 'angular-components', 'typescript', 'frontend', 'angular-directives', 'ngx', 'enterprise', 'ionic', 'ng-zorro', 'ng-zorro-antd-mobile', 'ant-design-mobile', 'mobile-ui', 'mobile', 'alibaba', 'gitter']",798,4588,True,True,True,False,45,en,True,False,False,False,False,True,True,False,False,False,Componente UX
TheComputerM/svelte-materialify,A Material UI Design Component library for Svelte heavily inspired by vuetify.,622,Svelte,84,https://github.com/TheComputerM/svelte-materialify,2020-07-02,2024-09-28,63,master,31,727,"['svelte', 'material-design', 'component-library', 'sveltejs', 'svelte-components', 'material', 'material-theme', 'material-components', 'svelte-material', 'ui', 'ui-kit', 'ui-components', 'svelte3']",622,5365,False,False,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Componente UX
AKAspanion/ui-neumorphism,"📕 React component library designed on the ""new skeuomorphism"" or ""neumorphism"" UI/UX trend. ",614,JavaScript,57,https://github.com/AKAspanion/ui-neumorphism,2020-05-11,2024-09-19,7,master,2,228,"['react', 'reactjs', 'reactjs-components', 'neumorphism', 'ui-neumorphism', 'ui', 'neumorphic', 'neumorphism-ui', 'skeumorphism', 'components', 'library', 'web']",614,10003,True,True,True,True,7,en,True,False,False,False,False,False,True,False,False,False,Componente UX
Ramotion/react-native-circle-menu,":octocat: ⭕️ CircleMenu is a simple, elegant UI menu with a circular layout and material design animations. Reactnative library made by @Ramotion",590,JavaScript,59,https://github.com/Ramotion/react-native-circle-menu,2017-10-16,2024-10-10,8,master,7,47,"['library', 'javascript']",590,1284,True,True,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Componente UX
sersavan/shadcn-multi-select-component,A multi-select component designed with shadcn/ui,563,TypeScript,26,https://github.com/sersavan/shadcn-multi-select-component,2024-04-10,2024-10-12,6,main,1,78,"['nextjs', 'reactjs', 'shadcn-ui', 'radix-ui', 'multi-select', 'multi-select-container', 'multi-select-dropdown', 'multi-selection', 'multi-selector']",563,215,True,True,True,False,0,en,True,True,False,False,False,False,True,False,True,False,Componente UX
system-ui/theme-specification,A specification for defining theme objects & design tokens for use with UI components,531,,19,https://github.com/system-ui/theme-specification,2019-03-23,2024-09-27,18,master,2,11,"['design-tokens', 'themes', 'theming', 'css', 'design-systems', 'design']",531,16,True,True,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Componente UX
balmjs/balm-ui,:diamonds: A modular and customizable UI library based on Material Design and Vue,506,SCSS,30,https://github.com/balmjs/balm-ui,2016-10-17,2024-09-27,24,main,12,3131,"['material-design', 'web', 'css', 'javascript', 'balm', 'material-components', 'ui-kit', 'design-systems', 'vue', 'vue-components', 'vue3']",506,58256,True,True,True,False,0,en,True,False,False,False,False,False,False,True,False,False,Componente UX
bareynol/mui-theme-creator,A tool to help design and customize themes for the Material-UI component library. Includes basic site templates to show various components and how they are affected by the theme,447,JavaScript,114,https://github.com/bareynol/mui-theme-creator,2020-08-25,2024-09-29,23,master,1,102,"['material-ui-theme', 'material-ui', 'theme-customizer']",447,22502,True,True,True,True,0,en,True,False,False,False,False,False,True,False,False,False,Componente UX
arco-design/arco-design-mobile,React mobile UI components library based on Arco Design,404,TypeScript,77,https://github.com/arco-design/arco-design-mobile,2022-06-01,2024-10-11,38,main,28,363,"['arco-design', 'arco-design-mobile', 'components', 'design', 'react', 'typescript', 'ui']",404,7802,True,True,True,False,0,en,True,True,False,False,False,False,True,True,False,False,Componente UX
skiff-org/skiff-ui,React components for the Skiff UI Design System,398,TypeScript,114,https://github.com/skiff-org/skiff-ui,2021-04-06,2024-10-09,14,main,4,66,"['components', 'design-system', 'react', 'react-components', 'typescript']",398,2526,True,True,True,False,0,en,True,False,False,False,False,False,True,False,False,False,Componente UX
