repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
FusionWowCMS_FusionCMS_package_json_history,4,0,"bootstrap, owl.carousel, sweetalert2",
rahuldkjain_github-profile-readme-generator_package_json_history,22,21,"react-helmet, gatsby-image, react, gsap, gatsby-plugin-react-helmet, gatsby-source-filesystem, gatsby, gatsby-transformer-sharp, gatsby-plugin-sharp, prop-types, react-dom, gatsby-plugin-manifest, gatsby-plugin-offline",prettier
gdotdesign_elm-ui_package_json_history,3,0,"elm-spec, elm-github-install, elm",
rcaferati_react-awesome-button_package_json_history,1,58,,"eslint-plugin-react, eslint, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-jsx-a11y, babel-loader, webpack, webpack-dev-server"
surjithctly_astro-navbar_package_json_history,0,3,,
divriots_jampack_package_json_history,24,6,"table, html-minifier-terser, svgo","ts-node, shx, @types/node, tslib, typescript"
microsoft_ace_package_json_history,2,0,fs-extra,
Tobijudah_york-and-dante_package_json_history,12,10,"react, react-dom","vite, @types/react-dom, @vitejs/plugin-react-refresh, typescript, @types/react"
fomantic_Fomantic-UI_package_json_history,41,11,,
vladotesanovic_ngSemantic_package_json_history,0,24,,
mob-sakai_UIEffect_package_json_history,0,0,,
rphlr_42-Evals_package_json_history,16,7,"react, react-hook-form, @headlessui/react, react-dom, sweetalert2, @heroicons/react, next, @prisma/client, @vercel/analytics","tailwindcss, daisyui, @types/react-dom, @types/node, postcss, typescript, @types/react"
tabler_tabler-react_package_json_history,3,41,,"react, babel-preset-env, rollup-plugin-peer-deps-external, eslint-plugin-react, rollup-plugin-babel, babel-preset-react, gh-pages, rollup-plugin-postcss, react-dom, rollup, rollup-plugin-url, rollup-plugin-commonjs, babel-eslint, rollup-plugin-node-resolve, babel-core, babel-plugin-external-helpers, babel-preset-stage-0, react-scripts"
digitalnsw_nsw-design-system_package_json_history,1,56,,"postcss-normalize, gulp-plumber, gulp-surge, gulp-sourcemaps, gulp-sass-glob, gulp, gulp-changed, gulp-postcss, autoprefixer, browser-sync, cssnano, gulp-sass, del"
tuandm_laravue_package_json_history,36,19,,
mCaptcha_mCaptcha_package_json_history,3,25,,"webpack-cli, css-loader, mini-css-extract-plugin, sass-loader, webpack, webpack-dev-server"
Famous_framework_package_json_history,32,6,"babel, commander, clone, jsdom, famous, escodegen, mkdirp, estraverse, express, chokidar, esprima, async","jsdoc, tap-closer, eslint, smokestack, tape"
sauzy34_react-native-multi-selectbox_package_json_history,5,13,"react-native-multi-selectbox, react, react-native, lodash, react-native-svg","prettier, babel-jest, react-test-renderer, eslint, eslint-config-react-app, @react-native-community/eslint-config, @babel/runtime, eslint-plugin-import, eslint-plugin-jsx-a11y, metro-react-native-babel-preset, eslint-config-prettier, @babel/core, jest"
xiaogliu_react-native-complete-demo_package_json_history,7,11,"react, react-native","babel-preset-react-native, babel-jest, react-test-renderer, jest"
open-source-labs_Svelvet_package_json_history,0,22,,"prettier, vite, vitest, @sveltejs/package, @typescript-eslint/eslint-plugin, eslint, svelte-check, @typescript-eslint/parser, prettier-plugin-svelte, @playwright/test, typescript, @sveltejs/adapter-auto, @sveltejs/kit, tslib, eslint-config-prettier, publint"
forcedotcom_SFDX-Data-Move-Utility-Desktop-App_package_json_history,20,16,"class-transformer, reflect-metadata, jquery, jsforce, platform-folders, ps-tree, es6-shim, soql-parser-js",electron
djenriquez_vault-ui_package_json_history,5,37,axios,"babel-preset-react, postcss-loader, css-loader, babel-preset-es2015, babel-core, babel-loader, material-ui, webpack, extract-text-webpack-plugin"
Daynnnnn_soketi-ui_package_json_history,1,14,,"tailwindcss, react, vite, @headlessui/react, @inertiajs/react, lodash, react-dom, postcss, autoprefixer, @tailwindcss/forms, @vitejs/plugin-react, axios, laravel-vite-plugin"
lsqy_taro-music_package_json_history,23,23,"redux-thunk, redux, @tarojs/taro, taro-ui, redux-logger, @tarojs/components","eslint-plugin-react, eslint, @types/webpack-env, eslint-plugin-import, eslint-config-taro, typescript, @types/react"
sejr_react-messenger_package_json_history,5,1,"react, react-dom, react-scripts",
creativetimofficial_vue-material-kit_package_json_history,10,9,"vue-prism-editor, vue, typed.js, bootstrap, vue-count-to, @popperjs/core, pinia, vue-router, prismjs, vue-clipboard3","prettier, @vitejs/plugin-vue, vite, eslint-plugin-vue, eslint, @rushstack/eslint-patch, sass, @vue/eslint-config-prettier, sass-loader"
njleonzhang_vue-data-tables_package_json_history,3,74,vue,"vue-template-compiler, semver, css-loader, webpack-merge, babel-core, babel-loader, webpack, file-loader, chalk, eslint, eslint-plugin-promise, eslint-config-standard, vue-loader, html-webpack-plugin, babel-eslint, autoprefixer, shelljs, vue-style-loader, eslint-loader, node-sass, url-loader, eslint-friendly-formatter, babel-preset-stage-2, ora, eslint-plugin-standard, sass-loader, babel-plugin-transform-runtime"
DouyinFE_semi-design_package_json_history,64,106,"react-helmet, date-fns, react, chroma-js, unist-util-remove, cross-env, prop-types, classnames, reset-css, debug, gatsby-plugin-svgr, @mdx-js/react, memoize-one, react-intl, react-clipboard.js, aos, copy-text-to-clipboard, unist-util-visit, gatsby-source-filesystem, react-lazyload, @douyinfe/semi-site-banner, gatsby, react-dom, grapheme-splitter, react-scroll-parallax, typeface-inconsolata, re-resizable, @douyinfe/semi-site-header, typeface-inter, gatsby-plugin-mdx, qs, react-dnd-html5-backend, wcag-color, @douyinfe/semi-site-doc-style, react-dnd, react-resizable, gatsby-plugin-remove-serviceworker, react-sortable-hoc, lodash-es, react-inlinesvg, css, camelcase, react-virtualized, gatsby-plugin-i18n, react-infinite-scroller, immutability-helper, gatsby-plugin-react-helmet, @svgr/core, sass, @douyinfe/semi-site-markdown-blocks, normalize.css","eslint-plugin-react-hooks, css-loader, jest-enzyme, jest-date-mock, esbuild-loader, @types/classnames, @types/webpack, typescript, @storybook/addon-knobs, null-loader, babel-runtime, @types/jest, style-loader, @commitlint/config-conventional, @types/node, @babel/preset-typescript, @types/lodash-es, sass-loader, @babel/runtime, @babel/types, babel-core, @commitlint/cli, @babel/plugin-proposal-object-rest-spread, webpack-cli, eslint, @babel/eslint-parser, @types/svgo, case-sensitive-paths-webpack-plugin, @babel/plugin-proposal-class-properties, @storybook/react, @babel/eslint-plugin, axios, sinon, @typescript-eslint/eslint-plugin, react-storybook-addon-props-combinations, @types/fs-extra, @storybook/addon-actions, esbuild, @types/enhanced-resolve, storybook-addon-turbo-build, fs-extra, eslint-plugin-jest, @babel/core, @types/lodash, @babel/preset-env, react-dnd-cjs, rimraf, @shopify/jest-dom-mocks, ts-loader, @babel/cli, @types/react-resizable, babel-plugin-transform-require-context, @storybook/cli, semver, glob, prettier, @babel/plugin-proposal-decorators, jest-mock-random, terser-webpack-plugin, @svgr/webpack, stylelint, webpack-dev-server, postcss-loader, @babel/preset-react, lint-staged, webpackbar, husky, enzyme-adapter-react-16, eslint-plugin-import, jsdom, progress-bar-webpack-plugin, mini-css-extract-plugin, babel-loader, @babel/plugin-transform-runtime, enzyme-to-json, svgo, html-webpack-plugin, babel-jest, eslint-plugin-react, @typescript-eslint/parser, sha1, enzyme, @types/react-dom, marked, crypto, eslint-config-jest-enzyme, @types/react, jest"
wellyshen_react-cool-img_package_json_history,0,31,,"prettier, react-test-renderer, eslint, @types/react-dom, @types/jest, @babel/preset-env, rollup, @babel/preset-typescript, rollup-plugin-terser, @babel/preset-react, ts-jest, lint-staged, @rollup/plugin-replace, typescript, @types/react, @babel/core, husky, jest"
hacktheme_Nice-Admin_package_json_history,55,6,"dropzone, select2, datatables.net-bs4, bootstrap-duallistbox, magnific-popup, cropper, jquery, sweetalert2, jquery-sessiontimeout, jquery-validation, dragula, gaugeJS, chartist-plugin-tooltips, moment, toastr, echarts, wnumb, bootstrap-colorpicker, @claviska/jquery-minicolors, chartist, jvectormap, jquery-steps, perfect-scrollbar, tinymce, bootstrap-touchspin, bootstrap-datepicker, jquery.repeater, masonry-layout, gmaps, flot, datatables, raphael, chart.js, nouislider, clockpicker, quill, summernote, bootstrap, ckeditor, nestable, tablesaw, typeahead.js, block-ui, raty-js, morris.js, jquery-asColorPicker, jsgrid, pickadate, daterangepicker, inputmask, bootstrap-switch, popper.js, bootstrap-material-datetimepicker, fullcalendar, footable","gulp-uglify, gulp-rename, gulp, gulp-npm-dist, gulp-minify-css, gulp-sass"
supermedium_aframe-react_package_json_history,0,29,,"babel-cli, babel, babel-preset-react, babel-preset-es2015, babel-preset-stage-0"
ivan-lednev_obsidian-day-planner_package_json_history,21,47,,"nyc, cross-env, @types/node, jsdom, jsdom-global, ignore-styles, tslib, typescript"
Dashibase_lotion_package_json_history,9,16,"@tiptap/vue-3, vue, @tiptap/starter-kit, vue-draggable-next, oh-vue-icons","tailwindcss, @vitejs/plugin-vue, vite, @types/node, vue-tsc, postcss, @babel/types, autoprefixer, typescript, @types/sortablejs"
kbrsh_moon_package_json_history,0,8,,
Semantic-UI-Vue_Semantic-UI-Vue_package_json_history,0,42,,"vue-template-compiler, url-loader, file-loader, eslint, css-loader, babel-eslint, babel-core, babel-loader, copy-webpack-plugin, webpack, vue-loader, html-webpack-plugin"
J3-Tech_Vue-Tree-Navigation_package_json_history,3,35,vue,"stylelint-config-recess-order, eslint, eslint-plugin-promise, stylelint-config-standard, eslint-config-standard, eslint-plugin-standard, stylelint-scss, eslint-plugin-html, stylelint"
kanriapp_kanri_package_json_history,26,24,"@tauri-apps/api, tauri-plugin-store-api","@nuxtjs/tailwindcss, nuxt, @tauri-apps/cli"
vueComponent_ant-design-vue_package_json_history,22,182,,"stylelint, eslint, stylelint-config-standard, eslint-plugin-html, less, css-loader, babel-loader, style-loader, webpack, less-loader, vue-loader, html-webpack-plugin, webpack-dev-server"
remix-run_remix_package_json_history,95,0,"@types/react-test-renderer, prettier, react, eslint, react-dom, @types/jest, rollup, @babel/preset-env, @babel/preset-typescript, @babel/preset-react, typescript, @types/react, @babel/core, jest",
tamagui_tamagui_package_json_history,19,0,,
facebookarchive_react-360_package_json_history,0,10,,jest
jsartisan_react-native-magnus_package_json_history,3,31,,"prettier, react, react-native, eslint, @react-native-community/eslint-config, eslint-plugin-prettier, @types/jest, eslint-config-prettier, @types/react-native, commitlint, @release-it/conventional-changelog, typescript, @types/react, @commitlint/config-conventional, release-it, jest"
atherosai_ui_package_json_history,2,1,,
creativetimofficial_notus-react_package_json_history,14,0,"react, chart.js, react-router, react-dom, @popperjs/core, @fortawesome/fontawesome-free, react-router-dom, react-scripts",
s-shemmee_TikTok-UI-Clone_package_json_history,10,0,"react, react-dom, @testing-library/user-event, @fortawesome/react-fontawesome, @testing-library/react, @fortawesome/free-solid-svg-icons, web-vitals, @testing-library/jest-dom, react-youtube, react-scripts",
khmyznikov_pwa-install_package_json_history,0,26,,"webpack-cli, eslint, @types/node, ts-loader, express, typescript, webpack, webpack-dev-server"
ChatGPTNextWeb_ChatGPT-Next-Web_package_json_history,32,30,"react, react-dom, next",
grahammendick_navigation_package_json_history,1,20,,"gulp-rename, gulp, gulp-mocha"
NSFI_ppfish-components_package_json_history,39,111,"query-string, classnames","less, css-loader, babel-core, babel-loader, webpack, less-loader, webpack-hot-middleware, file-loader, react-test-renderer, chalk, eslint, copy-webpack-plugin, extract-text-webpack-plugin, html-webpack-plugin, babel-jest, eslint-plugin-react, autoprefixer, webpack-dev-middleware, style-loader, enzyme, stylelint, url-loader, npm-run-all, stylelint-config-standard, postcss-loader, ora, rimraf, webpack-bundle-analyzer, jest"
tsalb_lwc-utils_package_json_history,0,16,,prettier
vonovak_react-navigation-header-buttons_package_json_history,1,22,,
anubra266_choc-ui_package_json_history,43,14,"react, react-dom, next",
ant-design_ant-design-mobile_package_json_history,20,93,,
react-native-image-picker_react-native-image-picker_package_json_history,0,6,,
TanStack_virtual_package_json_history,0,15,,prettier
francoborrelli_spotify-react-web-client_package_json_history,27,15,"react, react-dom, react-scripts",
sakofchit_system.css_package_json_history,1,15,,"postcss-css-variables, dedent, live-server, highlight.js, gh-pages, postcss-inline, postcss-copy, postcss-calc, postcss, postcss-inline-svg, mkdirp, ejs, chokidar, cssnano, glob"
wojteg1337_MobXApp_package_json_history,9,15,"lodash.debounce, react, styled-components, react-native, react-dom, mobx-react, react-navigation, mobx, axios","babel-plugin-flow-react-proptypes, babel-jest, eslint-plugin-react, eslint, flow-bin, react-test-renderer, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-jsx-a11y, babel-eslint, babel-preset-react-native-stage-0, eslint-plugin-babel, babel-preset-react-native, babel-plugin-transform-decorators-legacy, jest"
Leecason_element-tiptap_package_json_history,37,37,,"eslint-plugin-vue, eslint, babel-eslint, lint-staged, @vue/eslint-config-standard"
suyalcinkaya_onur.dev_package_json_history,32,16,"react, react-dom, next",
FaridSafi_react-native-gifted-chat_package_json_history,10,37,,
react-navigation_web_package_json_history,2,24,"history, query-string","prettier, babel-cli, react, conventional-changelog-cli, babel-plugin-transform-flow-strip-types, react-test-renderer, eslint, eslint-config-satya164, react-native, babel-jest, jest-expo, react-dom, release-it, babel-preset-react-native, eslint-plugin-react-native-globals, husky, jest"
kirevdokimov_Unity-UI-Rounded-Corners_package_json_history,0,0,,
NG-ZORRO_ng-zorro-antd_package_json_history,4,104,@angular/cdk,"@angular/compiler, karma-jasmine-html-reporter, @angular/router, @types/jasmine, karma-chrome-launcher, @angular/language-service, @angular/compiler-cli, ts-node, marked, karma, jasmine-core, typescript, @angular/cli, karma-jasmine, @angular/platform-browser-dynamic"
kubernetes-sigs_kui_package_json_history,19,25,,
MishanPoudel_Windows11-3.0_package_json_history,14,2,"react, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, @testing-library/jest-dom, react-scripts",
ember-engines_ember-engines_package_json_history,0,1,,
liyasthomas_colorbook_package_json_history,0,1,,jshint
oruga-ui_oruga_package_json_history,0,4,,
adrianhajdin_project_modern_ui_ux_restaurant_package_json_history,8,6,"react, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, @testing-library/jest-dom, react-icons, react-scripts","eslint-plugin-react, eslint, eslint-config-airbnb, eslint-plugin-react-hooks, eslint-plugin-import, eslint-plugin-jsx-a11y"
uidotdev_usehooks_package_json_history,0,4,,
dailydrip_react-native-navigation-sample_package_json_history,3,4,"react, react-native","babel-preset-react-native, babel-jest, react-test-renderer, jest"
bbc_html5-video-compositor_package_json_history,0,6,,"babel-core, webpack, node-libs-browser, babel-loader"
hoaphantn7604_react-native-curved-bottom-bar_package_json_history,2,25,,
you-dont-need_You-Dont-Need-Momentjs_package_json_history,1,11,,"date-fns, moment, jest"
KlausSchaefers_quant-ux_package_json_history,25,22,"qrcode, d3, vue, highlight.js, vue-router, file-saver, pretty","vue-template-compiler, eslint-plugin-vue, eslint, @vue/cli-plugin-babel, babel-eslint, @vue/cli-service, body-parser, @vue/cli-plugin-eslint"
lcdsantos_menuspy_package_json_history,0,11,,"uglify-js, karma-chrome-launcher, eslint, karma-jasmine, karma-phantomjs-launcher, karma, rollup-plugin-buble, jasmine-core, rollup-watch, rollup-plugin-eslint"
llorentegerman_react-admin-dashboard_package_json_history,10,1,"react, react-dom, react-scripts",
diegomura_react-pdf_package_json_history,0,51,,
johnpolacek_nextjs-mdx-blog-starter_package_json_history,13,2,"@mdx-js/loader, react, prop-types, gray-matter, react-dom, react-ga, @next/mdx, next, theme-ui, @mdx-js/runtime","onchange, prettier"
N3-components_N3-components_package_json_history,4,35,,"vue-hot-reload-api, less, css-loader, babel-preset-es2015, babel-core, babel-loader, webpack, less-loader, eslint-plugin-html, file-loader, eslint-plugin-promise, eslint-config-standard, prismjs, vue-loader, extract-text-webpack-plugin, vue-html-loader, style-loader, eslint-loader, webpack-dev-server, url-loader, eslint-friendly-formatter, eslint-plugin-standard, babel-plugin-transform-runtime"
thepassle_generic-components_package_json_history,0,12,,"@open-wc/eslint-config, es-dev-server, eslint, lint-staged, lit-html, @open-wc/prettier-config, @open-wc/testing, sinon, husky"
sozonome_nextarter-chakra_package_json_history,7,17,"react, react-dom, next",
dec0dOS_zero-ui_package_json_history,0,12,,"standard-version, cross-env, nodemon, rimraf, concurrently, @commitlint/config-conventional, @commitlint/cli, husky"
mdbootstrap_perfect-scrollbar_package_json_history,0,6,,
dot-cafe_beam.cafe_package_json_history,7,40,"normalize.css, preact","workbox-webpack-plugin, css-loader, progress-bar-webpack-plugin, mini-css-extract-plugin, babel-loader, webpack, webpack-cli, eslint, @types/webpack-env, eslint-config-simon, typescript, copy-webpack-plugin, html-webpack-plugin, @typescript-eslint/eslint-plugin, eslint-plugin-react, @typescript-eslint/parser, terser-webpack-plugin, style-loader, webpack-dev-server, @babel/plugin-transform-react-jsx, node-sass, svg-inline-loader, clean-webpack-plugin, sassyfication, @babel/preset-typescript, sass-loader"
atoami_react-native-navigation-redux-starter-kit_package_json_history,17,30,"react, react-native","babel-preset-react-native, babel-jest, react-test-renderer, jest"
pmndrs_uikit_package_json_history,0,33,,"vite, chai, ts-node, @types/mocha, chai-as-promised, mocha, @types/chai-as-promised, @types/chai, typescript"
infernojs_inferno_package_json_history,0,55,,
lukebrandonfarrell_react-native-navigation-drawer-extension_package_json_history,0,13,,
3lang3_react-vant_package_json_history,0,15,,"prettier, lint-staged, husky"
jdf2e_nutui-react_package_json_history,12,103,,"eslint-plugin-react-hooks, eslint-config-airbnb, eslint-plugin-import, inquirer, @types/loadable__component, vite, eslint, eslint-plugin-jsx-a11y, typescript, prettier, @typescript-eslint/eslint-plugin, eslint-plugin-react, @typescript-eslint/parser, eslint-config-prettier, @types/react-dom, @types/node, sass, @babel/preset-react, @types/react"
trailheadapps_az-insurance_package_json_history,0,17,,"prettier, @salesforce/eslint-plugin-lightning, @salesforce/eslint-config-lwc, @lwc/eslint-plugin-lwc, eslint, prettier-plugin-apex, @salesforce/eslint-plugin-aura, eslint-plugin-import, semver, @salesforce/sfdx-lwc-jest, jest-canvas-mock, lint-staged, eslint-config-prettier, eslint-plugin-jest, @sa11y/jest, husky, @prettier/plugin-xml"
faouzioudouh_react-tracker_package_json_history,1,14,,
awesome-yasin_PDF-Verse_package_json_history,29,0,"multer, pdf-lib, cors, zlib, uuid, xhr2, libreoffice-convert, ejs, express, @pdf-lib/fontkit, pdf-image, imagemin, axios, pdf2pic, pdfjs-dist, pdfmake, jimp, body-parser, jszip, pdf-watermark",
jic999_moon-web-start_package_json_history,10,23,"vue, vue-router, @vueuse/core, pinia","@vitejs/plugin-vue, vite, vite-plugin-pages, eslint-plugin-vue, eslint, naive-ui, @types/node, sass, unocss, @iconify-json/carbon, unplugin-auto-import, @iconify/utils, typescript, @antfu/eslint-config, unplugin-vue-components, unocss-preset-scalpel"
NewOldMax_react-material-ui-form-validator_package_json_history,2,13,,"eslint-plugin-react, eslint, babel-preset-react, babel-preset-stage-2, eslint-config-airbnb, eslint-plugin-import, babel-preset-es2015, eslint-plugin-jsx-a11y, babel-eslint"
i18next_react-i18next_package_json_history,2,51,,eslint
material-components_material-components-web_package_json_history,0,71,,
fiffty_react-treeview-mui_package_json_history,7,6,,
primefaces_primevue_package_json_history,0,16,,
layerJS_layerJS_package_json_history,24,0,,
maxnowack_signaldb_package_json_history,0,33,,"@typescript-eslint/eslint-plugin, eslint-plugin-prefer-object-spread, eslint, @typescript-eslint/parser, ts-node, eslint-plugin-import, rimraf, eslint-config-airbnb-base, typescript, eslint-import-resolver-typescript"
react-navigation_navigation-ex_package_json_history,0,19,,"prettier, eslint-config-satya164, eslint, @types/jest, @babel/preset-env, codecov, commitlint, @babel/preset-typescript, typescript, @commitlint/config-conventional, husky, jest"
ElementUI_element-starter_package_json_history,2,15,"element-ui, vue","file-loader, css-loader, babel-core, babel-loader, style-loader, webpack, vue-loader, webpack-dev-server"
kadiraydinli_react-native-system-navigation-bar_package_json_history,0,18,,"prettier, react, react-native, eslint, react-native-builder-bob, @react-native-community/eslint-config, eslint-plugin-prettier, @types/jest, typescript, commitlint, @release-it/conventional-changelog, @types/react, eslint-config-prettier, @types/react-native, @commitlint/config-conventional, release-it, jest"
chakra-ui_chakra-ui_package_json_history,74,0,,
nisabmohd_ChatGPT_package_json_history,19,10,,
okta_okta-signin-widget_package_json_history,18,120,,"grunt-contrib-copy, grunt-cli, grunt, grunt-exec"
BorisKozo_react-datatables_package_json_history,2,3,"react, react-dom","jquery, datatables.net, react-scripts"
ptmt_react-native-macos_package_json_history,54,17,"connect, stacktrace-parser",eslint
akveo_react-native-ui-kitten_package_json_history,2,36,,
sailboatui_sailboatui_package_json_history,4,4,,prettier
themesberg_volt-react-dashboard_package_json_history,26,0,"react-datetime, react, moment-timezone, react-router-dom, react-copy-to-clipboard, @fortawesome/free-regular-svg-icons, @fortawesome/free-brands-svg-icons, react-dom, @fortawesome/react-fontawesome, chartist, react-chartist, chartist-plugin-tooltips-updated, @fortawesome/fontawesome-svg-core, react-router-hash-link, bootstrap, simplebar-react, @themesberg/react-bootstrap, react-transition-group, react-live, @testing-library/user-event, @testing-library/react, @fortawesome/free-solid-svg-icons, @testing-library/jest-dom, react-scripts",
elix_elix_package_json_history,0,12,,
ComponentDriven_csf_package_json_history,1,21,,"prettier, eslint, common-tags, @types/jest, typescript, @storybook/eslint-config-storybook, jest"
AXeL-dev_distract-me-not_package_json_history,16,11,"react, react-dom, web-vitals",
rogden_tailwind-config-viewer_package_json_history,8,17,,"vue-template-compiler, eslint-plugin-vue, eslint, @vue/cli-plugin-babel, babel-eslint, @vue/cli-service, @vue/cli-plugin-eslint, @vue/eslint-config-standard"
solidjs_solid_package_json_history,0,34,,rollup
vechai_vechaiui_package_json_history,0,24,,"tailwindcss, cross-env, @babel/runtime, @babel/preset-env, @babel/plugin-proposal-class-properties, rimraf, @storybook/addon-postcss, @babel/preset-typescript, @changesets/cli, @babel/preset-react, @babel/cli, @storybook/react, autoprefixer, lerna, typescript, @tailwindcss/forms, postcss, @babel/core"
microsoft_react-dag-editor_package_json_history,3,57,,jest
software-mansion_react-native-screens_package_json_history,2,40,,"prettier, react, react-native, babel-jest, react-test-renderer, eslint-plugin-promise, eslint, eslint-plugin-react, eslint-plugin-react-native, eslint-plugin-import, react-dom, eslint-config-standard, lint-staged, eslint-config-prettier, eslint-plugin-jest, husky, jest"
adobe_react-spectrum_package_json_history,0,146,,
6eDesign_svelte-calendar_package_json_history,2,18,,svelte
danielwuachin_nextjs-animations_package_json_history,11,5,"framer-motion, react, eslint, @types/react-dom, @next/font, @types/node, react-dom, eslint-config-next, next, typescript, @types/react","prettier, tailwindcss, postcss, autoprefixer, prettier-plugin-tailwindcss"
AT-UI_at-ui_package_json_history,5,46,"vue-template-compiler, vue-router, vue","highlight.js, cross-env, resolve-url-loader, css-loader, babel-preset-es2015, json-loader, webpack-merge, babel-core, babel-loader, vue-markdown-loader, webpack, eslint-plugin-html, yaml-loader, webpack-hot-middleware, file-loader, postcss-url, eslint, express, vue-loader, connect-history-api-fallback, extract-text-webpack-plugin, html-webpack-plugin, markdown-it-container, vue-html-loader, webpack-dashboard, autoprefixer, webpack-dev-middleware, eslint-config-o2team, style-loader, vue-style-loader, eslint-loader, http-proxy-middleware, node-sass, url-loader, babel-preset-stage-2, postcss-loader, cheerio, sass-loader, babel-plugin-transform-runtime, markdown-it"
trufflesuite_drizzle_package_json_history,0,16,,lerna
neo4j_neo4j-browser_package_json_history,62,100,redux,"css-loader, react-hot-loader, babel-loader, style-loader, webpack, webpack-dev-server"
dyo_dyo_package_json_history,0,10,,
NoriginMedia_Norigin-Spatial-Navigation_package_json_history,1,30,lodash,"react, @types/styled-components, styled-components, eslint-config-airbnb, eslint-plugin-import, pre-commit, webpack, file-loader, webpack-cli, eslint, react-dom, typescript, html-webpack-plugin, prettier, eslint-config-airbnb-typescript, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, eslint-config-prettier, webpack-dev-server, @types/lodash, @types/react-dom, ts-loader, @types/react"
quasarframework_quasar_package_json_history,0,2,,
Lissy93_dashy_package_json_history,31,19,"vue-router, register-service-worker, vue","vue-template-compiler, eslint-plugin-vue, eslint, @vue/cli-plugin-babel, babel-eslint, sass, @vue/cli-plugin-pwa, @vue/cli-service, sass-loader, @vue/cli-plugin-eslint, @vue/eslint-config-standard"
react-navigation_search-layout_package_json_history,0,1,,
LiskArchive_lisk-mobile_package_json_history,92,71,"react, react-native, prop-types, redux-thunk, redux, react-redux",
purescript-halogen_purescript-halogen_package_json_history,0,6,,
bamlab_react-tv-space-navigation_package_json_history,6,32,,
starknet-io_starkgate-frontend_package_json_history,0,7,,"prettier, @trivago/prettier-plugin-sort-imports"
TimMikeladze_typescript-react-package-starter_package_json_history,0,33,,"react, @storybook/addon-links, react-test-renderer, tsup, @storybook/addon-interactions, @types/react-dom, react-dom, @types/node, @storybook/addon-essentials, @storybook/react, concurrently, typescript, @types/react"
organicmaps_organicmaps_package_json_history,0,1,,prettier
devias-io_material-kit-react_package_json_history,22,17,"react, react-dom",
mendix_Atlas-UI-Framework_package_json_history,0,2,,
frontend-joe_react-sidebars_package_json_history,8,0,"react, @types/react-dom, react-dom, @types/node, typescript, @types/react, react-scripts",
neon-age_Smart-Inspector_package_json_history,0,0,,
vuematerial_vue-material_package_json_history,5,76,,"url-loader, file-loader, eslint, eslint-plugin-promise, chalk, eslint-plugin-import, css-loader, ora, babel-eslint, eslint-config-standard, eslint-plugin-standard, babel-loader, eslint-plugin-node, friendly-errors-webpack-plugin, sass-loader, vue-style-loader, webpack, html-webpack-plugin"
rilyu_teaset_package_json_history,2,0,,
vanjs-org_van_package_json_history,0,5,,"typescript, terser, esbuild"
11ty_eleventy-navigation_package_json_history,1,1,dependency-graph,ava
anastasiaprh_product-design-roadmap_package_json_history,4,1,"react, react-dom, react-scripts",
vuikit_vuikit_package_json_history,0,9,,"eslint, eslint-plugin-promise, eslint-plugin-standard, eslint-config-standard, eslint-plugin-html"
playbook-ui_playbook-ios_package_json_history,0,1,,
airyland_vux_package_json_history,23,93,,
Defcon27_Real-Estate-Management-System-using-NodeJS-Express-MongoDB_package_json_history,11,1,"popups, bootstrap, jquery, pug, mongoose, bower, body-parser, express, express-handlebars, popper.js",
proshoumma_Book-of-Spices_package_json_history,11,8,"react, react-native","babel-jest, babel-preset-react-native, react-test-renderer, jest"
nihgwu_react-native-dva-starter_package_json_history,6,18,"react-navigation, react, react-native","babel-jest, react-test-renderer, babel-preset-react-native, babel-plugin-transform-decorators-legacy, jest"
oleksiikhr_vue-stripe-menu_package_json_history,1,39,vue,"eslint-plugin-vue, eslint"
bem_bem-react_package_json_history,0,30,,
ionicthemes_ionic5-starter-app-tutorial_package_json_history,15,25,"@angular/platform-browser, @ionic/angular, @angular/router, @ionic-native/core, @angular/common, rxjs, @capacitor/core, @angular/forms, tslib, core-js, @ionic-native/splash-screen, @ionic-native/status-bar, @angular/core, @angular/platform-browser-dynamic, zone.js","@angular/compiler, @types/jasmine, karma-chrome-launcher, @angular/language-service, @types/jasminewd2, ts-node, karma, jasmine-spec-reporter, jasmine-core, tslint, typescript, protractor, karma-coverage-istanbul-reporter, codelyzer, @ionic/angular-toolkit, karma-jasmine, @angular-devkit/build-angular, karma-jasmine-html-reporter, @angular/compiler-cli, @types/node, @capacitor/cli, @angular/cli"
web3ui_web3uikit_package_json_history,6,52,,"@types/styled-components, @storybook/addon-links, @storybook/react, @storybook/addon-essentials"
TailAdmin_tailadmin-free-tailwind-dashboard-template_package_json_history,5,21,"apexcharts, jsvectormap, alpinejs, flatpickr","html-loader, css-loader, mini-css-extract-plugin, babel-loader, webpack, file-loader, webpack-cli, babel-plugin-prismjs, glob, html-webpack-plugin, tailwindcss, autoprefixer, style-loader, @babel/core, webpack-dev-server, postcss-loader, @babel/preset-env, postcss, postcss-preset-env"
kondasoft_ks-bootshop_package_json_history,2,12,,
