repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
Mindinventory_react-native-navigation-animation_package_json_history,6,5,"react-navigation-transitions, react-navigation-fluid-transitions, react, react-native, react-navigation, @babel/runtime","babel-jest, react-test-renderer, metro-react-native-babel-preset, @babel/core, jest"
view-design_ViewUI_package_json_history,8,61,,"html-loader, vue-hot-reload-api, less, css-loader, vue-router, babel-core, babel-loader, webpack, less-loader, file-loader, eslint, gulp-rename, gulp, vue-loader, extract-text-webpack-plugin, babel-runtime, vue-html-loader, style-loader, vue-style-loader, url-loader, autoprefixer-loader, babel-plugin-transform-runtime, gulp-less"
luwes_sinuous_package_json_history,0,22,,"eslint, rollup-plugin-istanbul, eslint-plugin-import, minimist, rollup, karma, karma-rollup-preprocessor, karma-coverage"
ioanmo226_chatgpt-web-application_package_json_history,6,0,"openai, cors, dotenv, express",
trendmicro-frontend_tonic-ui_package_json_history,0,6,,"lerna, @commitlint/config-conventional, @commitlint/cli, husky"
nikgraf_belle_package_json_history,1,26,,babel
peter-mach_react-navigation-is-focused-hoc_package_json_history,2,0,react-navigation,
Raathigesh_retoggle_package_json_history,0,48,,
erikras_react-redux-universal-hot-example_package_json_history,51,47,"compression, http-proxy, react, react-router, piping, file-loader, react-inline-css, url-loader, superagent, redux, serve-favicon, express, express-session","json-loader, react-a11y, webpack, concurrently"
pinterest_gestalt_package_json_history,4,89,,"prettier, stylelint-order, babel-jest, react-test-renderer, eslint, eslint-plugin-react, stylelint-config-standard, stylelint, eslint-config-airbnb, eslint-plugin-import, eslint-config-prettier, eslint-plugin-jsx-a11y, identity-obj-proxy, jest"
GetStream_stream-chat-react-native_package_json_history,0,15,,
react-navigation_redux-helpers_package_json_history,1,2,invariant,flow-bin
snapcrunch_electron-preferences_package_json_history,8,20,lodash,"sass-loader, react, css-loader, react-dom, cache-loader, babel-core, babel-loader, style-loader, webpack"
eduardolat_pgbackweb_package_json_history,0,4,,"tailwindcss, daisyui"
karthikmudunuri_eldoraui_package_json_history,73,28,"react, react-dom, next","tailwindcss, eslint, @types/react-dom, @types/node, postcss, eslint-config-next, typescript, @types/react"
kuma-ui_kuma-ui_package_json_history,0,19,,
evoluhq_evolu_package_json_history,0,7,,"prettier, eslint, @changesets/cli, eslint-config-evolu, turbo"
SolidOS_solid-ui_package_json_history,11,51,,
gorilla-devs_GDLauncher_package_json_history,69,57,"@sentry/utils, lockfile, react, @loadable/babel-plugin, react-router, styled-components, craco-antd, get-folder-size, redux-persist, electron-log, semver, slate, slate-react, rooks, react-window, react-router-dom, memoize-one, node-machine-id, uuid, react-redux, reselect, slate-history, 7zip-bin, directory-tree, use-debounce, polished, base64-stream, lodash, react-dom, react-beautiful-dnd, react-window-infinite-loader, react-content-loader, base64url, axios, react-virtualized-auto-sizer, antd, history, fast-xml-parser, @sentry/react, get-stream, is-electron, react-markdown, react-html-parser, react-contextmenu, inter-ui, @sentry/tracing, symlink-dir, randomstring, he, jimp, electron-store, user-agents, fs-extra, preact, node-7z, react-transition-group, make-dir, react-portal, typeface-roboto, connected-react-router, localforage, ps-tree, redux, @sentry/integrations, react-type-animation, discord-rpc, redux-logger, p-map, react-intersection-observer","electron-updater, cross-env, @babel/plugin-syntax-dynamic-import, @babel/register, @babel/runtime, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-prettier, eslint-plugin-react-hooks, webpack-merge, husky, babel-core, babel-loader, webpack, wait-on, babel-plugin-transform-react-remove-prop-types, dotenv, @ant-design/icons, eslint-import-resolver-alias, @fortawesome/free-regular-svg-icons, @babel/plugin-transform-runtime, babel-plugin-macros, webpack-cli, eslint, eslint-plugin-promise, @fortawesome/free-brands-svg-icons, @babel/plugin-proposal-export-default-from, @babel/plugin-proposal-class-properties, @fortawesome/react-fontawesome, eslint-plugin-jsx-a11y, @sentry/webpack-plugin, native-ext-loader, @fortawesome/fontawesome-svg-core, babel-plugin-preval, prettier, babel-plugin-styled-components, babel-preset-minify, eslint-plugin-react, terser-webpack-plugin, eslint-config-prettier, eslint-formatter-pretty, @craco/craco, electron, eslint-plugin-compat, babel-plugin-module-resolver, electron-builder, @napi-rs/cli, @babel/preset-env, rimraf, @fortawesome/free-solid-svg-icons, eslint-import-resolver-webpack, @babel/preset-react, @babel/cli, webpack-bundle-analyzer, concurrently, react-scripts"
vuejs_pinia_package_json_history,0,33,,"prettier, typescript"
connors_photon_package_json_history,0,17,,"grunt-contrib-sass, grunt-contrib-watch, grunt"
jhipster_jhipster-online_package_json_history,30,40,"@angular/compiler, @angular/platform-browser, @angular/router, @ng-bootstrap/ng-bootstrap, ng-jhipster, @angular/common, bootstrap, rxjs, @angular/forms, ngx-infinite-scroll, zone.js, @angular/core, @angular/platform-browser-dynamic, ngx-cookie","browser-sync-webpack-plugin, @angular/compiler-cli, @types/node, rimraf, webpack-notifier, webpack-merge, generator-jhipster, typescript, copy-webpack-plugin, @angular/cli, webpack, browser-sync"
entria_ReactNavigationRelayModern_package_json_history,6,25,"react, react-native","babel-jest, react-test-renderer, jest"
jetstyle_Apple-Vision-Pro-UI-Kit_package_json_history,2,0,"com.unity.xr.interaction.toolkit, com.unity.textmeshpro",
lewhunt_react-tv-player_package_json_history,13,20,"@fortawesome/free-regular-svg-icons, react, zustand, vite-plugin-css-injected-by-js, classnames, react-dom, @noriginmedia/norigin-spatial-navigation, @fortawesome/react-fontawesome, @fortawesome/free-solid-svg-icons, @fortawesome/fontawesome-svg-core, react-player","eslint-plugin-react-hooks, jsdom, @types/testing-library__jest-dom, vite, eslint, vite-plugin-dts, typescript, @vitejs/plugin-react, vitest, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, @types/jest, eslint-plugin-react-refresh, @types/react-dom, gh-pages, @types/node, sass, @testing-library/react, @testing-library/jest-dom, @types/react"
viclafouch_mui-tel-input_package_json_history,2,32,,"prettier, @viclafouch/eslint-config-viclafouch, vite, eslint, typescript, @vitejs/plugin-react"
Ramotion_react-native-circle-menu_package_json_history,2,0,,
ipeedy_react-native-boilerplate_package_json_history,10,4,"react, expo, react-native",
appbaseio_dejavu_package_json_history,2,35,"lerna, react","prettier, @babel/preset-react, @babel/preset-env"
creativetimofficial_now-ui-kit_package_json_history,0,7,,
appbaseio_reactivemaps_package_json_history,9,10,"emotion-theming, emotion, react, react-dom, @appbaseio/designkit, react-router-dom, react-emotion, react-scripts",
cjcenizal_flexbox-patterns_package_json_history,0,5,,"postcss-cli, autoprefixer"
JC-Coder_startease_package_json_history,13,1,"commander, inquirer, figlet, simple-git, fs-extra",
rebassjs_rebass_package_json_history,0,12,,
rvpanoz_luna_package_json_history,27,56,"react, react-dom",cross-env
saas-js_saas-ui_package_json_history,0,41,,
smallcase_react-native-simple-biometrics_package_json_history,0,20,,"react, react-native"
